2026-05-16T14:14:06Z [supervisor] start max_restarts=200 loop_args=['--batch-size', '120', '--inter-cycle-sleep', '120', '--resilient-async', '--no-prebatch-recheck']
2026-05-16T16:25:40Z [supervisor] launch restart#11 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:25:40Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:25:40Z [supervisor] restart in 90s (attempt 12)
2026-05-16T16:27:10Z [supervisor] launch restart#12 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:27:10Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:27:10Z [supervisor] restart in 90s (attempt 13)
2026-05-16T16:28:40Z [supervisor] launch restart#13 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:28:41Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:28:41Z [supervisor] restart in 90s (attempt 14)
2026-05-16T16:30:11Z [supervisor] launch restart#14 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:30:11Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:30:11Z [supervisor] restart in 90s (attempt 15)
2026-05-16T16:31:41Z [supervisor] launch restart#15 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:31:41Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:31:41Z [supervisor] restart in 90s (attempt 16)
2026-05-16T16:33:11Z [supervisor] launch restart#16 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:33:11Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:33:11Z [supervisor] restart in 90s (attempt 17)
2026-05-16T16:34:41Z [supervisor] launch restart#17 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:34:41Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:34:41Z [supervisor] restart in 90s (attempt 18)
2026-05-16T16:36:11Z [supervisor] launch restart#18 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:36:11Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:36:11Z [supervisor] restart in 90s (attempt 19)
2026-05-16T16:37:41Z [supervisor] launch restart#19 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:37:41Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:37:41Z [supervisor] restart in 90s (attempt 20)
2026-05-16T16:39:11Z [supervisor] launch restart#20 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:39:11Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:39:11Z [supervisor] restart in 90s (attempt 21)
2026-05-16T16:40:41Z [supervisor] launch restart#21 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:40:41Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:40:41Z [supervisor] restart in 90s (attempt 22)
